interaction_id,question_type,domain,retrieved_gold,n_words,t,t_suf,t_sc,top1_stable_streak,top1_changed,named_entity_detected,words_since_first_ne,question_word_type,label,label_sc
c225b0a2-227d-46e2-8366-4096f6dd5a87,simple_w_condition,sports,True,6,1,3,4,1,0,0,0,who,0,0
c225b0a2-227d-46e2-8366-4096f6dd5a87,simple_w_condition,sports,True,6,2,3,4,1,1,0,0,who,0,0
c225b0a2-227d-46e2-8366-4096f6dd5a87,simple_w_condition,sports,True,6,3,3,4,2,0,0,0,who,1,0
c225b0a2-227d-46e2-8366-4096f6dd5a87,simple_w_condition,sports,True,6,4,3,4,1,1,1,0,who,1,1
c225b0a2-227d-46e2-8366-4096f6dd5a87,simple_w_condition,sports,True,6,5,3,4,2,0,1,1,who,1,1
c225b0a2-227d-46e2-8366-4096f6dd5a87,simple_w_condition,sports,True,6,6,3,4,3,0,1,2,who,1,1
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,1,7,9,1,0,0,0,what,0,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,2,7,9,2,0,0,0,what,0,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,3,7,9,1,1,0,0,what,0,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,4,7,9,1,1,0,0,what,0,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,5,7,9,2,0,0,0,what,0,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,6,7,9,1,1,0,0,what,0,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,7,7,9,2,0,0,0,what,1,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,8,7,9,3,0,0,0,what,1,0
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,9,7,9,1,1,0,0,what,1,1
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,10,7,9,2,0,0,0,what,1,1
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,11,7,9,3,0,0,0,what,1,1
7593f33d-1f12-4f27-bcb2-87a034a3b8f2,set,open,True,12,12,7,9,4,0,0,0,what,1,1
049ab05b-fd1a-42a0-b749-38eeedb0ac72,simple,finance,True,7,1,3,7,1,0,0,0,other,0,0
049ab05b-fd1a-42a0-b749-38eeedb0ac72,simple,finance,True,7,2,3,7,2,0,0,0,other,0,0
049ab05b-fd1a-42a0-b749-38eeedb0ac72,simple,finance,True,7,3,3,7,3,0,0,0,other,1,0
049ab05b-fd1a-42a0-b749-38eeedb0ac72,simple,finance,True,7,4,3,7,4,0,0,0,other,1,0
049ab05b-fd1a-42a0-b749-38eeedb0ac72,simple,finance,True,7,5,3,7,5,0,0,0,other,1,0
049ab05b-fd1a-42a0-b749-38eeedb0ac72,simple,finance,True,7,6,3,7,6,0,0,0,other,1,0
049ab05b-fd1a-42a0-b749-38eeedb0ac72,simple,finance,True,7,7,3,7,1,1,1,0,other,1,1
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,1,11,12,1,0,0,0,which,0,0
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,2,11,12,2,0,0,0,which,0,0
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,3,11,12,1,1,0,0,which,0,0
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,4,11,12,2,0,0,0,which,0,0
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,5,11,12,1,1,0,0,which,0,0
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,6,11,12,2,0,0,0,which,0,0
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,7,11,12,3,0,0,0,which,0,0
5210df0b-2b03-42c4-8766-82f4c06af208,simple_w_condition,sports,True,16,8,11,12,4,0,0,0,which,0,0
