interaction_id,question_type,domain,retrieved_gold,n_words,t,t_suf,t_sc,top1_stable_streak,top1_changed,named_entity_detected,words_since_first_ne,question_word_type,label,label_sc
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,1,,18,1,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,2,,18,2,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,3,,18,3,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,4,,18,4,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,5,,18,5,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,6,,18,6,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,7,,18,7,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,8,,18,1,1,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,9,,18,2,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,10,,18,3,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,11,,18,4,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,12,,18,5,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,13,,18,1,1,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,14,,18,2,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,15,,18,3,0,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,16,,18,1,1,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,17,,18,1,1,0,0,what,,0
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,18,,18,1,1,0,0,what,,1
a2486535-98e7-4876-9880-80374eac2fa8,simple_w_condition,movie,False,22,19,,18,2,0,0,0,what,,1
