qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test0,8,5,0.625,4,0.5
test1,9,8,0.8889,,
test2,10,6,0.6,5,0.5
test3,9,7,0.7778,7,0.7778
test4,9,5,0.5556,5,0.5556
test5,8,,,,
test6,8,3,0.375,,
test7,10,,,,
test8,8,,,,
test9,12,12,1.0,,
test10,11,,,,
test11,10,6,0.6,,
test12,9,,,,
test13,8,6,0.75,,
test14,14,12,0.8571,13,0.9286
test15,9,6,0.6667,,
test16,12,,,,
test17,8,,,,
test18,9,,,,
test19,8,8,1.0,,
test20,11,5,0.4545,1,0.0909
test21,8,,,,
test22,8,,,,
test23,13,13,1.0,,
test24,18,,,,
test25,8,4,0.5,4,0.5
test26,12,,,,
test27,8,,,,
test28,15,12,0.8,,
test29,8,,,,
test30,8,8,1.0,,
test31,9,,,7,0.7778
test32,8,,,,
test33,8,8,1.0,6,0.75
test34,8,5,0.625,5,0.625
test35,9,,,,
test36,8,,,1,0.125
test37,8,,,,
test38,8,,,,
test39,10,,,,
test40,8,8,1.0,8,1.0
test41,9,,,,
test42,9,,,,
test43,8,,,,
test44,7,,,,
test45,11,,,,
test46,9,,,,
test47,8,,,,
test48,8,,,,
test49,8,,,,
test50,8,,,,
test51,8,8,1.0,,
test52,9,,,,
test53,8,3,0.375,,
test54,11,,,,
test55,11,,,,
test56,8,,,,
test57,9,7,0.7778,,
test58,8,8,1.0,,
test59,8,,,8,1.0
test60,8,4,0.5,2,0.25
test61,8,5,0.625,,
test62,8,8,1.0,,
test63,8,8,1.0,,
test64,8,4,0.5,4,0.5
test65,8,,,,
test66,10,,,,
test67,8,,,,
test68,8,,,,
test69,9,9,1.0,,
test70,9,9,1.0,,
test71,12,,,,
test72,8,,,,
test73,11,,,,
test74,8,,,,
test75,8,,,,
test76,9,,,,
test77,12,,,,
test78,9,,,,
test79,9,9,1.0,8,0.8889
test80,8,,,,
test81,11,6,0.5455,,
test82,8,,,,
test83,15,,,,
test84,10,,,,
test85,8,8,1.0,4,0.5
test86,10,,,,
test87,11,,,,
test88,9,,,,
test89,9,,,,
test90,8,,,,
test91,10,,,,
test92,8,5,0.625,,
test93,8,6,0.75,,
test94,12,,,6,0.5
test95,9,,,,
test96,8,,,,
test97,8,5,0.625,,
test98,8,,,,
test99,9,,,,
test100,10,,,,
test101,9,,,,
test102,8,,,,
test103,9,,,,
test104,9,,,,
test105,10,10,1.0,,
test106,10,,,,
test107,8,,,,
test108,9,,,,
test109,8,,,,
test110,10,,,,
test111,8,,,,
test112,11,,,,
test113,9,,,,
test114,11,10,0.9091,,
test115,12,,,,
test116,13,,,,
test117,8,6,0.75,,
test118,8,8,1.0,,
test119,8,7,0.875,,
test120,13,9,0.6923,,
test121,8,,,,
test122,9,,,,
test123,8,8,1.0,8,1.0
test124,9,5,0.5556,5,0.5556
test125,13,,,,
test126,8,8,1.0,,
test127,8,3,0.375,3,0.375
test128,8,7,0.875,7,0.875
test129,8,,,,
test130,9,9,1.0,,
test131,8,,,,
test132,9,,,,
test133,9,,,,
test134,9,,,,
test135,8,5,0.625,,
test136,9,,,,
test137,8,,,,
test138,11,,,,
test139,11,7,0.6364,,
test140,9,4,0.4444,4,0.4444
test141,8,,,2,0.25
test142,9,8,0.8889,8,0.8889
test143,10,6,0.6,6,0.6
test144,9,,,,
test145,9,,,,
test146,8,,,,
test147,8,8,1.0,,
test148,16,1,0.0625,1,0.0625
test149,8,3,0.375,7,0.875
test150,18,11,0.6111,9,0.5
test151,8,6,0.75,,
test152,8,,,,
test153,9,5,0.5556,,
test154,12,,,,
test155,10,,,,
test156,8,,,,
test157,9,,,,
test158,8,2,0.25,,
test159,13,,,,
test160,10,,,,
test161,8,,,,
test162,8,7,0.875,,
test163,8,2,0.25,1,0.125
test164,8,8,1.0,,
test165,10,,,,
test166,8,,,6,0.75
test167,8,7,0.875,7,0.875
test168,10,,,,
test169,8,,,,
test170,8,7,0.875,,
test171,9,,,,
test172,8,7,0.875,3,0.375
test173,11,,,,
test174,7,,,,
test175,8,,,,
test176,9,,,,
test177,8,,,,
test178,9,,,,
test179,9,7,0.7778,,
test180,11,,,9,0.8182
test181,15,5,0.3333,1,0.0667
test182,8,,,,
test183,12,3,0.25,3,0.25
test184,8,,,,
test185,8,5,0.625,,
test186,11,,,,
test187,9,5,0.5556,7,0.7778
test188,8,8,1.0,,
test189,8,,,,
test190,8,8,1.0,,
test191,11,,,,
test192,8,6,0.75,,
test193,11,,,,
test194,11,,,,
test195,13,5,0.3846,5,0.3846
test196,8,,,,
test197,8,,,,
test198,9,,,,
test199,15,,,,
test200,7,5,0.7143,,
test201,8,,,,
test202,9,,,,
test203,9,,,,
test204,10,,,,
test205,12,11,0.9167,,
test206,8,2,0.25,1,0.125
test207,12,,,,
test208,8,,,8,1.0
test209,15,15,1.0,6,0.4
test210,11,,,,
test211,9,,,,
test212,10,,,,
test213,9,,,,
test214,8,,,,
test215,8,5,0.625,,
test216,16,,,,
test217,8,,,,
test218,8,,,,
test219,8,,,,
test220,8,,,,
test221,8,6,0.75,,
test222,11,10,0.9091,,
test223,9,,,,
test224,14,,,,
test225,8,7,0.875,1,0.125
test226,8,,,2,0.25
test227,8,7,0.875,,
test228,13,,,,
test229,8,,,,
test230,8,4,0.5,,
test231,8,,,,
test232,8,,,,
test233,8,,,,
test234,8,8,1.0,,
test235,8,,,,
test236,8,,,,
test237,9,8,0.8889,,
test238,8,8,1.0,,
test239,9,,,,
test240,7,,,,
test241,11,,,11,1.0
test242,12,10,0.8333,,
test243,8,,,,
test244,11,6,0.5455,8,0.7273
test245,18,6,0.3333,4,0.2222
test246,8,,,,
test247,8,,,,
test248,7,5,0.7143,,
test249,9,,,,
test250,8,7,0.875,1,0.125
test251,18,,,,
test252,9,4,0.4444,,
test253,10,,,,
test254,11,,,,
test255,12,,,,
test256,8,8,1.0,,
test257,8,8,1.0,,
test258,8,,,4,0.5
test259,8,,,,
test260,10,,,,
test261,10,8,0.8,8,0.8
test262,9,5,0.5556,5,0.5556
test263,11,8,0.7273,,
test264,14,7,0.5,,
test265,9,,,,
test266,9,,,6,0.6667
test267,11,,,,
test268,8,5,0.625,,
test269,9,,,,
test270,11,3,0.2727,2,0.1818
test271,8,,,,
test272,9,6,0.6667,,
test273,8,,,,
test274,7,,,2,0.2857
test275,8,6,0.75,,
test276,16,,,,
test277,8,,,,
test278,10,,,,
test279,8,7,0.875,7,0.875
test280,13,,,,
test281,9,8,0.8889,,
test282,8,,,,
test283,9,5,0.5556,1,0.1111
test284,8,,,,
test285,9,,,,
test286,10,,,,
test287,8,,,,
test288,9,,,,
test289,8,,,,
test290,9,,,,
test291,16,,,,
test292,8,,,,
test293,9,,,,
test294,9,,,1,0.1111
test295,8,,,,
test296,8,,,7,0.875
test297,8,,,,
test298,8,,,,
test299,8,,,,
test300,11,,,,
test301,8,,,,
test302,8,,,,
test303,8,8,1.0,2,0.25
test304,8,6,0.75,,
test305,10,9,0.9,,
test306,10,,,,
test307,8,,,,
test308,9,,,,
test309,13,,,,
test310,8,8,1.0,,
test311,8,7,0.875,,
test312,8,,,,
test313,9,,,,
test314,9,2,0.2222,1,0.1111
test315,10,,,,
test316,7,5,0.7143,4,0.5714
test317,8,5,0.625,2,0.25
test318,10,,,1,0.1
test319,9,,,9,1.0
test320,9,4,0.4444,4,0.4444
test321,8,,,,
test322,8,,,,
test323,9,5,0.5556,1,0.1111
test324,8,,,,
test325,11,,,,
test326,10,10,1.0,,
test327,9,,,,
test328,7,,,,
test329,10,,,,
test330,9,5,0.5556,,
test331,10,,,,
test332,8,6,0.75,6,0.75
test333,9,,,,
test334,12,6,0.5,6,0.5
test335,11,,,,
test336,8,6,0.75,,
test337,8,,,,
test338,10,,,,
test339,10,,,,
test340,10,,,,
test341,11,,,,
test342,10,6,0.6,,
test343,8,,,5,0.625
test344,10,10,1.0,,
test345,8,6,0.75,2,0.25
test346,9,,,,
test347,9,,,,
test348,8,,,,
test349,10,,,6,0.6
test350,8,,,,
test351,8,,,,
test352,8,,,,
test353,8,,,,
test354,10,10,1.0,,
test355,8,6,0.75,,
test356,9,7,0.7778,,
test357,10,,,,
test358,8,,,,
test359,8,,,,
test360,9,,,,
test361,9,8,0.8889,,
test362,10,8,0.8,,
test363,9,,,,
test364,10,9,0.9,,
test365,8,,,,
test366,7,6,0.8571,,
test367,11,,,,
test368,10,10,1.0,,
test369,10,,,,
test370,8,8,1.0,,
test371,10,,,,
test372,8,,,6,0.75
test373,10,7,0.7,,
test374,8,,,,
test375,8,,,,
test376,10,,,,
test377,8,5,0.625,,
test378,14,,,,
test379,9,,,,
test380,8,,,,
test381,9,4,0.4444,4,0.4444
test382,10,9,0.9,1,0.1
test383,8,,,,
test384,8,4,0.5,3,0.375
test385,9,,,,
test386,9,2,0.2222,2,0.2222
test387,7,,,,
test388,8,7,0.875,,
test389,13,3,0.2308,3,0.2308
test390,8,,,,
test391,8,3,0.375,,
test392,8,6,0.75,5,0.625
test393,8,7,0.875,,
test394,8,,,2,0.25
test395,9,,,,
test396,8,,,,
test397,9,2,0.2222,,
test398,9,,,,
test399,13,10,0.7692,,
test400,13,13,1.0,,
test401,8,6,0.75,6,0.75
test402,7,,,,
test403,10,,,,
test404,9,,,,
test405,8,,,,
test406,10,9,0.9,1,0.1
test407,10,,,,
test408,8,8,1.0,,
test409,10,,,,
test410,8,,,5,0.625
test411,8,,,,
test412,8,,,,
test413,15,,,,
test414,8,,,,
test415,13,,,,
test416,15,,,4,0.2667
test417,7,,,,
test418,9,6,0.6667,,
test419,8,7,0.875,,
test420,9,8,0.8889,9,1.0
test421,7,4,0.5714,4,0.5714
test422,13,,,,
test423,8,,,,
test424,8,,,,
test425,9,,,,
test426,11,,,,
test427,9,,,,
test428,10,7,0.7,5,0.5
test429,9,,,,
test430,11,,,,
test431,12,9,0.75,8,0.6667
test432,10,9,0.9,,
test433,8,6,0.75,,
test434,8,,,,
test435,9,,,,
test436,8,8,1.0,8,1.0
test437,10,10,1.0,,
test438,8,8,1.0,8,1.0
test439,8,,,,
test440,8,,,,
test441,14,,,,
test442,9,,,,
test443,10,,,,
test444,10,,,,
test445,8,,,,
test446,8,6,0.75,8,1.0
test447,8,,,1,0.125
test448,8,7,0.875,,
test449,8,,,,
test450,9,7,0.7778,5,0.5556
test451,8,,,,
test452,9,,,,
test453,8,6,0.75,6,0.75
test454,10,,,,
test455,8,,,,
test456,8,,,,
test457,11,6,0.5455,,
test458,8,5,0.625,5,0.625
test459,8,,,4,0.5
test460,8,,,,
test461,8,5,0.625,,
test462,9,,,,
test463,8,4,0.5,2,0.25
test464,8,8,1.0,,
test465,8,8,1.0,,
test466,10,7,0.7,7,0.7
test467,10,7,0.7,1,0.1
test468,8,,,,
test469,9,9,1.0,,
test470,8,,,,
test471,11,10,0.9091,,
test472,8,,,,
test473,9,,,,
test474,10,,,,
test475,8,,,,
test476,8,,,,
test477,8,,,,
test478,8,,,,
test479,8,,,,
test480,9,,,,
test481,7,7,1.0,6,0.8571
